DATE,XTIMVA01INM667S
2005-01-01,11392713211.5232
2005-02-01,11145670089.9001
2005-03-01,11811937623.1714
2005-04-01,11670895193.8395
2005-05-01,12770922028.1606
2005-06-01,11849908157.6899
2005-07-01,11542739126.3551
2005-08-01,12704071329.5931
2005-09-01,12609395538.4996
2005-10-01,11893895069.5494
2005-11-01,11273189817.8965
2005-12-01,12200069224.7092
2006-01-01,13129657968.0212
2006-02-01,12426570428.4681
2006-03-01,13686910359.2912
2006-04-01,13520238284.5835
2006-05-01,14329175027.7986
2006-06-01,14447546435.977999
2006-07-01,15021391750.339699
2006-08-01,15247906306.9278
2006-09-01,17252930429.041397
2006-10-01,17224976040.179703
2006-11-01,16308241006.7958
2006-12-01,15711849073.001501
2007-01-01,14474464272.3435
2007-02-01,15618112566.898
2007-03-01,16685961714.706099
2007-04-01,18878958375.2737
2007-05-01,20055280829.5377
2007-06-01,20410561899.2307
2007-07-01,20815730351.4492
2007-08-01,20248100439.279602
2007-09-01,18425170856.1517
2007-10-01,21106796759.5008
2007-11-01,22010189608.222797
2007-12-01,20167210676.6291
2008-01-01,22896058361.6282
2008-02-01,22337254341.188602
2008-03-01,23370607156.858
2008-04-01,30613444817.1964
2008-05-01,28391901287.011097
2008-06-01,29509034065.7226
2008-07-01,30628092581.593597
2008-08-01,34453926695.8814
2008-09-01,30447631513.2674
2008-10-01,24997220059.015198
2008-11-01,24193474150.4113
2008-12-01,18858116070.0271
2009-01-01,18580568989.5139
2009-02-01,16252396964.732199
2009-03-01,16191994000.538698
2009-04-01,19523508311.5042
2009-05-01,19652396033.3774
2009-06-01,23108057764.4072
2009-07-01,21043009741.1103
2009-08-01,23077799736.1509
2009-09-01,21059920215.7809
2009-10-01,25480444355.3002
2009-11-01,25321893471.887703
2009-12-01,27370186041.562397
2010-01-01,26181561096.724
2010-02-01,28215101413.144
2010-03-01,28424992893.1521
2010-04-01,31962227577.1027
2010-05-01,29177810399.123398
2010-06-01,28720965459.455498
2010-07-01,29236517626.5894
2010-08-01,27413797445.552097
2010-09-01,28881705789.2176
2010-10-01,32432557336.414703
2010-11-01,28738822822.1138
2010-12-01,30516790577.1686
2011-01-01,34547648363.5369
2011-02-01,35540331811.6706
2011-03-01,32879037441.7166
2011-04-01,37552506804.1139
2011-05-01,43653094748.3821
2011-06-01,40964349931.375404
2011-07-01,41201608142.366
2011-08-01,39769951656.3694
2011-09-01,38910905519.9218
2011-10-01,41138865377.5194
2011-11-01,38963797725.6914
2011-12-01,39417929511.263
2012-01-01,43731338071.499504
2012-02-01,43014990477.6005
2012-03-01,41352246843.1662
2012-04-01,39170721435.0592
2012-05-01,40034124686.8203
2012-06-01,36890213059.9822
2012-07-01,40047011220.0226
2012-08-01,37112357696.6913
2012-09-01,42570607883.789
2012-10-01,42744350245.876
2012-11-01,40304881924.0156
2012-12-01,43070311674.0121
2013-01-01,44798149162.9217
2013-02-01,43936038693.640396
2013-03-01,40627538632.6784
2013-04-01,41951735614.362495
2013-05-01,41764156076.922905
2013-06-01,36637196166.981
2013-07-01,37163793841.1623
2013-08-01,37456210418.5923
2013-09-01,34101964485.048496
2013-10-01,36792788958.2116
2013-11-01,34212628392.3927
2013-12-01,35965602177.137596
2014-01-01,36385972388.4271
2014-02-01,36257806400.854904
2014-03-01,40971706610.3283
2014-04-01,36119710754.1952
2014-05-01,37740107498.263596
2014-06-01,39134563712.2359
2014-07-01,38859245305.3122
2014-08-01,38544660011.946
2014-09-01,42418394888.0728
2014-10-01,38145059674.6957
2014-11-01,43999790080.1039
2014-12-01,34135904280.7204
2015-01-01,32851417128.512203
2015-02-01,30932178279.2972
2015-03-01,34570180402.74329
2015-04-01,33810188848.632004
2015-05-01,32290220608.343
2015-06-01,33649224980.951096
2015-07-01,35284762351.9022
2015-08-01,34951513182.263
2015-09-01,31356612075.155697
2015-10-01,30622866964.166298
2015-11-01,30273866745.766502
2015-12-01,32916048074.8964
2016-01-01,29884845875.7066
2016-02-01,29369143985.7434
2016-03-01,26205823520.6623
2016-04-01,26359036025.9022
2016-05-01,27364651334.352398
2016-06-01,31025434750.4315
2016-07-01,29417609218.509502
2016-08-01,29143405870.4726
2016-09-01,31170497599.1312
2016-10-01,34499446530.141
2016-11-01,33320981633.8992
2016-12-01,33951619146.446804
2017-01-01,32833032541.065598
2017-02-01,36840287709.9827
2017-03-01,38327073495.5054
2017-04-01,40511097372.554306
2017-05-01,36424090314.27129
2017-06-01,37192084782.0706
2017-07-01,34359598688.973896
2017-08-01,35874591840.2502
2017-09-01,37801921815.1367
2017-10-01,36893795894.1098
2017-11-01,41223016379.8763
2017-12-01,41921456404.7539
2018-01-01,40718633987.8561
2018-02-01,40719727890.7381
2018-03-01,41765302223.6669
2018-04-01,40989265717.9273
2018-05-01,41800719628.4441
2018-06-01,45748518852.8712
2018-07-01,43837867914.2974
2018-08-01,45475753762.2318
2018-09-01,43366037984.277596
2018-10-01,43232650018.5946
2018-11-01,43489395278.4679
2018-12-01,42224269799.2331
2019-01-01,41458928472.9662
2019-02-01,39324337824.6846
2019-03-01,43361431367.215
2019-04-01,42739285850.8498
2019-05-01,44445574172.8771
2019-06-01,42625256468.7459
2019-07-01,39267806733.8735
2019-08-01,40300942718.5122
2019-09-01,37539773050.3022
2019-10-01,36765954371.980896
2019-11-01,39040415550.0958
2019-12-01,38799627457.5345
2020-01-01,41137654060.8292
2020-02-01,41205609696.749596
2020-03-01,30712102160.5473
2020-04-01,17223260718.6868
2020-05-01,22514354395.1404
2020-06-01,21422619745.986298
2020-07-01,27653246802.1847
2020-08-01,31918270116.6283
2020-09-01,29674733666.1309
2020-10-01,33544024915.445496
2020-11-01,34276315509.0235
2020-12-01,41358589003.6344
2021-01-01,43455457637.1558
2021-02-01,43535489432.6852
2021-03-01,46440516113.442894
2021-04-01,46012076139.275795
2021-05-01,38015852039.5316
2021-06-01,42295941306.7955
2021-07-01,45585601956.4179
2021-08-01,45604480569.123405
2021-09-01,55098098010.0544
2021-10-01,53704779857.220604
2021-11-01,52869020634.1611
2021-12-01,58118639861.7154
2022-01-01,54361302253.160095
2022-02-01,60016955815.3889
2022-03-01,60524582019.5111
2022-04-01,59510077246.628395
2022-05-01,59235580216.5008
2022-06-01,64653268593.4491
2022-07-01,64056851521.9839
2022-08-01,61531099214.2325
2022-09-01,62081874997.0803
2022-10-01,57991506333.0418
2022-11-01,56791677366.6075
2022-12-01,59983998152.942
