DATE,BSCICP03INM665S
2005-01-01,102.089512654416
2005-02-01,101.915668889941
2005-03-01,101.96359644424
2005-04-01,102.145401771869
2005-05-01,102.360003684714
2005-06-01,102.545295090393
2005-07-01,102.697508145431
2005-08-01,102.819152395517
2005-09-01,102.900031266409
2005-10-01,102.928827359775
2005-11-01,102.870879211459
2005-12-01,102.698040827255
2006-01-01,102.505285460376
2006-02-01,102.425607644892
2006-03-01,102.564842211843
2006-04-01,102.823405753961
2006-05-01,103.079151911836
2006-06-01,103.250897684912
2006-07-01,103.364767126737
2006-08-01,103.462108250976
2006-09-01,103.565286268682
2006-10-01,103.660005143154
2006-11-01,103.707870029463
2006-12-01,103.667408857225
2007-01-01,103.561947901526
2007-02-01,103.41058889245
2007-03-01,103.224185908068
2007-04-01,103.047220320802
2007-05-01,102.935956118996
2007-06-01,102.927157831371
2007-07-01,102.941107066018
2007-08-01,102.870527209132
2007-09-01,102.646760601476
2007-10-01,102.390474806374
2007-11-01,102.276713201118
2007-12-01,102.432464755821
2008-01-01,102.691709622424
2008-02-01,102.817504250959
2008-03-01,102.620573193913
2008-04-01,102.211351148661
2008-05-01,101.708794470103
2008-06-01,101.161483671511
2008-07-01,100.562060558682
2008-08-01,99.836569274283
2008-09-01,98.8859096564308
2008-10-01,97.7533587688454
2008-11-01,96.4699330408771
2008-12-01,95.081641677267
2009-01-01,93.8276149082903
2009-02-01,93.1054355111221
2009-03-01,93.3022057365693
2009-04-01,94.0937668639946
2009-05-01,95.1740156234932
2009-06-01,96.3894297160918
2009-07-01,97.5849057018745
2009-08-01,98.6068110113239
2009-09-01,99.3259740634789
2009-10-01,99.8342450604252
2009-11-01,100.201003748508
2009-12-01,100.440559234753
2010-01-01,100.621062112149
2010-02-01,100.796886374421
2010-03-01,101.000063939649
2010-04-01,101.236397789008
2010-05-01,101.514557944344
2010-06-01,101.842021161613
2010-07-01,102.179184318339
2010-08-01,102.467673302398
2010-09-01,102.648951961342
2010-10-01,102.731605224387
2010-11-01,102.700419770072
2010-12-01,102.524090089811
2011-01-01,102.276763268804
2011-02-01,102.031398486557
2011-03-01,101.824123658142
2011-04-01,101.616630036705
2011-05-01,101.341700727771
2011-06-01,100.948957996587
2011-07-01,100.518046262946
2011-08-01,100.165942589957
2011-09-01,99.9924361752719
2011-10-01,99.946799781652
2011-11-01,99.9760951110004
2011-12-01,100.045608157323
2012-01-01,100.084352836723
2012-02-01,99.9964515667456
2012-03-01,99.703284212644
2012-04-01,99.3122829830248
2012-05-01,98.959746908122
2012-06-01,98.7514901935894
2012-07-01,98.6650254195766
2012-08-01,98.6778510530115
2012-09-01,98.7739470193643
2012-10-01,98.8509798669618
2012-11-01,98.7673095836086
2012-12-01,98.4080595319623
2013-01-01,97.9118895158596
2013-02-01,97.4536257946892
2013-03-01,97.1638110622204
2013-04-01,97.0103481304999
2013-05-01,96.9662564062551
2013-06-01,97.0410765665493
2013-07-01,97.2029040269617
2013-08-01,97.4466715642657
2013-09-01,97.77542463899
2013-10-01,98.0996566410872
2013-11-01,98.2957751103137
2013-12-01,98.2690890292353
2014-01-01,98.1449096491051
2014-02-01,98.0847913018632
2014-03-01,98.200265511189
2014-04-01,98.4025140706654
2014-05-01,98.5646825896359
2014-06-01,98.5974196889106
2014-07-01,98.5644962369797
2014-08-01,98.5574723323438
2014-09-01,98.6360248370507
2014-10-01,98.7423753629367
2014-11-01,98.7826761714193
2014-12-01,98.6805980521105
2015-01-01,98.4969679188333
2015-02-01,98.3087749437079
2015-03-01,98.1697287052062
2015-04-01,98.0753801780544
2015-05-01,98.0179898641036
2015-06-01,97.9966982118506
2015-07-01,97.990737822757
2015-08-01,97.9807251035024
2015-09-01,97.9546206550783
2015-10-01,97.9177419920422
2015-11-01,97.8767789371263
2015-12-01,97.8345832304582
2016-01-01,97.7890425306607
2016-02-01,97.7331870677049
2016-03-01,97.6586412888915
2016-04-01,97.5693902679917
2016-05-01,97.4721473764287
2016-06-01,97.3814271965465
2016-07-01,97.3326103055421
2016-08-01,97.3884853477159
2016-09-01,97.603887817845
2016-10-01,97.8856469113788
2016-11-01,98.1138954848337
2016-12-01,98.1970233927851
2017-01-01,98.1801413449368
2017-02-01,98.1198639443543
2017-03-01,98.0591026814975
2017-04-01,98.0452542809872
2017-05-01,98.1488729106466
2017-06-01,98.4354295281961
2017-07-01,98.8196041977778
2017-08-01,99.1996200105628
2017-09-01,99.4939589533248
2017-10-01,99.6822366338119
2017-11-01,99.721308607062
2017-12-01,99.567437963994
2018-01-01,99.3476686272359
2018-02-01,99.2190726174833
2018-03-01,99.2938960135481
2018-04-01,99.4735315854024
2018-05-01,99.6262297210068
2018-06-01,99.6599971773502
2018-07-01,99.6224332677385
2018-08-01,99.5827842978205
2018-09-01,99.5853293675678
2018-10-01,99.6048512335623
2018-11-01,99.5861802930641
2018-12-01,99.4667617718326
2019-01-01,99.2374157184406
2019-02-01,98.8513102564273
2019-03-01,98.2428623686128
2019-04-01,97.5033980900327
2019-05-01,96.7319974270725
2019-06-01,96.017355667366
2019-07-01,95.4515810740754
2019-08-01,95.1714117845473
2019-09-01,95.2505655425539
2019-10-01,95.3064841267718
2019-11-01,94.799981077115
2019-12-01,93.3581245948585
2020-01-01,91.6595420766346
2020-02-01,90.6876457982786
2020-03-01,91.2405846346409
2020-04-01,92.7145095395314
2020-05-01,94.4025530772441
2020-06-01,95.8728228855529
