"CubeId";"gdprpq"
"PublishingDate";"2023-10-23 09:00"

"Date";"D0";"D1";"Value"
"2005-Q1";"VVK";"BBIPS";"1.03942103"
"2005-Q2";"VVK";"BBIPS";"1.05960899"
"2005-Q3";"VVK";"BBIPS";"1.10810759"
"2005-Q4";"VVK";"BBIPS";"1.10790515"
"2006-Q1";"VVK";"BBIPS";"1.09620915"
"2006-Q2";"VVK";"BBIPS";"0.78323936"
"2006-Q3";"VVK";"BBIPS";"0.74187459"
"2006-Q4";"VVK";"BBIPS";"1.33505288"
"2007-Q1";"VVK";"BBIPS";"0.53458502"
"2007-Q2";"VVK";"BBIPS";"1.60383922"
"2007-Q3";"VVK";"BBIPS";"0.84580684"
"2007-Q4";"VVK";"BBIPS";"0.87374522"
"2008-Q1";"VVK";"BBIPS";"0.74179841"
"2008-Q2";"VVK";"BBIPS";"0.99333283"
"2008-Q3";"VVK";"BBIPS";"0.39134441"
"2008-Q4";"VVK";"BBIPS";"-2.86477073"
"2009-Q1";"VVK";"BBIPS";"-1.6242524"
"2009-Q2";"VVK";"BBIPS";"0.58439654"
"2009-Q3";"VVK";"BBIPS";"1.34402355"
"2009-Q4";"VVK";"BBIPS";"0.56514917"
"2010-Q1";"VVK";"BBIPS";"0.88001089"
"2010-Q2";"VVK";"BBIPS";"0.67768969"
"2010-Q3";"VVK";"BBIPS";"0.53179657"
"2010-Q4";"VVK";"BBIPS";"0.86669929"
"2011-Q1";"VVK";"BBIPS";"0.62076719"
"2011-Q2";"VVK";"BBIPS";"0.65230328"
"2011-Q3";"VVK";"BBIPS";"-0.31315865"
"2011-Q4";"VVK";"BBIPS";"0.04635565"
"2012-Q1";"VVK";"BBIPS";"0.25704653"
"2012-Q2";"VVK";"BBIPS";"0.12692917"
"2012-Q3";"VVK";"BBIPS";"0.72845506"
"2012-Q4";"VVK";"BBIPS";"0.19244064"
"2013-Q1";"VVK";"BBIPS";"0.63221253"
"2013-Q2";"VVK";"BBIPS";"0.751935"
"2013-Q3";"VVK";"BBIPS";"0.77221694"
"2013-Q4";"VVK";"BBIPS";"0.24322156"
"2014-Q1";"VVK";"BBIPS";"0.35490578"
"2014-Q2";"VVK";"BBIPS";"0.66900122"
"2014-Q3";"VVK";"BBIPS";"0.70994"
"2014-Q4";"VVK";"BBIPS";"0.76264989"
"2015-Q1";"VVK";"BBIPS";"-0.16385077"
"2015-Q2";"VVK";"BBIPS";"0.55499636"
"2015-Q3";"VVK";"BBIPS";"0.53088304"
"2015-Q4";"VVK";"BBIPS";"0.48799832"
"2016-Q1";"VVK";"BBIPS";"0.21274095"
"2016-Q2";"VVK";"BBIPS";"0.4984199"
"2016-Q3";"VVK";"BBIPS";"0.54526905"
"2016-Q4";"VVK";"BBIPS";"0.45419754"
"2017-Q1";"VVK";"BBIPS";"0.31418931"
"2017-Q2";"VVK";"BBIPS";"0.2582298"
"2017-Q3";"VVK";"BBIPS";"0.53489648"
"2017-Q4";"VVK";"BBIPS";"1.02372194"
"2018-Q1";"VVK";"BBIPS";"0.76531174"
"2018-Q2";"VVK";"BBIPS";"0.81001167"
"2018-Q3";"VVK";"BBIPS";"-0.17467298"
"2018-Q4";"VVK";"BBIPS";"0.36846902"
"2019-Q1";"VVK";"BBIPS";"0.26788017"
"2019-Q2";"VVK";"BBIPS";"0.5508731"
"2019-Q3";"VVK";"BBIPS";"0.49576055"
"2019-Q4";"VVK";"BBIPS";"0.56145288"
"2020-Q1";"VVK";"BBIPS";"-1.38455227"
"2020-Q2";"VVK";"BBIPS";"-6.61452074"
"2020-Q3";"VVK";"BBIPS";"6.87601467"
"2020-Q4";"VVK";"BBIPS";"0.45538554"
"2021-Q1";"VVK";"BBIPS";"0.21628164"
"2021-Q2";"VVK";"BBIPS";"2.32640411"
"2021-Q3";"VVK";"BBIPS";"1.98973797"
"2021-Q4";"VVK";"BBIPS";"0.4980409"
"2022-Q1";"VVK";"BBIPS";"-0.03977"
"2022-Q2";"VVK";"BBIPS";"0.58918651"
"2022-Q3";"VVK";"BBIPS";"0.19667714"
"2022-Q4";"VVK";"BBIPS";"0.02079741"
